ID,valor
1,588.86
2,584.98
3,651.45
23,572.0
4,611.91
5,604.37
6,545.98
7,556.78
8,706.23
9,667.0
10,575.44
11,677.5
12,645.84
55,805.8
13,543.34
14,631.74
15,612.66
16,538.04
17,640.29
18,710.68
19,685.22
20,736.51
21,741.9
22,570.58
24,401.06
25,950.4
26,1185.0
27,641.25
28,951.22
37,566.07
29,752.93
30,548.32
31,579.36
38,904.64
32,741.46
33,639.54
34,629.1
35,470.36
36,658.02
39,584.22
52,407.44
40,658.22
41,669.07
43,585.38
42,637.41
44,605.74
45,652.0
46,642.83
47,736.0
48,691.97
50,411.39
49,561.83
51,270.33
53,541.82
54,592.4
56,776.37
57,727.54
58,670.0
59,665.47
60,531.35
61,584.87
62,591.74
63,641.33
64,592.98
65,622.49
66,705.32
80,627.42
67,636.68
68,578.14
69,583.85
70,604.15
71,583.48
72,478.05
73,635.2
74,614.98
81,540.4
75,640.37
84,524.48
76,596.14
77,564.48
96,517.83
78,466.62
98,1024.09
79,582.82
82,608.88
83,604.39
85,660.67
86,411.69
87,570.34
88,535.83
89,476.25
90,561.53
91,533.01
92,688.08
93,635.07
99,781.46
94,578.76
103,586.68
95,553.26
97,501.36
100,577.0
101,462.46
102,701.93
104,412.12
105,762.0
106,706.1
112,549.58
113,556.88
114,542.13
107,685.25
122,310.42
123,518.5
108,481.54
138,533.8
109,524.4
110,596.61
111,506.78
115,520.33
116,626.66
117,565.55
118,614.14
119,539.42
120,472.52
121,516.37
124,606.66
125,601.68
126,464.48
127,463.48
128,491.81
129,594.0
130,551.13
131,626.08
132,622.2
133,549.71
134,517.91
135,439.05
136,460.17
137,495.88
139,511.68
140,521.17
141,589.88
142,522.7
143,635.01
161,548.55
144,561.61
195,502.95
145,533.2
146,594.17
147,600.65
148,529.94
149,570.86
150,561.22
151,574.56
152,528.13
153,614.82
154,574.48
155,603.88
220,586.88
156,573.14
157,559.13
158,640.25
159,615.16
160,560.77
162,520.07
163,475.71
164,549.27
165,470.71
222,490.74
166,554.58
167,545.78
168,470.56
169,615.92
170,508.88
171,524.63
172,514.23
261,551.22
173,437.35
278,430.81
174,498.76
175,393.83
303,0
176,350.16
177,369.56
178,494.65
179,580.01
180,655.68
181,427.85
304,426.63
182,519.23
183,508.9
310,533.83
184,523.25
185,522.02
186,461.54
187,547.67
188,440.36
189,456.33
190,442.2
191,435.78
192,559.53
311,0
193,477.7
194,497.7
196,477.68
197,515.43
198,513.05
199,507.74
200,512.32
312,502.16
313,462.36
201,555.59
314,425.29
202,560.75
203,483.6
204,528.84
205,505.4
206,503.0
207,518.47
208,546.96
209,523.83
210,506.95
211,482.58
212,0
213,509.6
214,468.86
215,447.89
216,475.3
217,510.77
218,499.02
219,565.91
221,507.37
223,506.07
224,497.73
225,484.19
226,454.78
227,444.46
228,494.59
229,444.51
230,481.5
231,492.05
232,486.15
233,447.79
234,458.58
235,507.77
236,437.4
237,436.61
238,516.26
239,452.5
240,430.27
241,543.61
242,472.25
243,405.01
244,541.65
245,452.84
246,503.6
247,438.05
248,581.56
249,542.8
250,504.87
251,461.3
252,529.09
253,574.19
254,499.13
255,459.03
256,535.44
257,485.48
258,470.55
259,530.75
260,524.91
262,569.08
263,598.69
264,463.71
265,545.24
266,484.52
267,402.44
268,463.9
269,445.26
270,427.13
271,424.22
272,494.16
273,464.84
274,528.0
275,475.14
276,437.45
277,451.54
279,467.63
280,448.65
281,419.6
282,469.54
283,512.98
284,494.25
285,502.4
286,490.05
287,527.66
288,412.91
289,459.29
290,405.68
291,451.76
292,471.68
293,434.22
294,504.89
295,528.42
296,425.29
297,443.73
298,509.92
299,453.5
300,517.06
301,465.38
302,519.15
305,539.71
306,448.01
307,437.81
308,604.0
309,507.29
